"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"89","RT @RanaAyyub: I spoke to @Slate on the anxiety of Being Muslim in India. On Kashmir, the Ayodhya verdict and everything else that    ails…",FALSE,0,NA,2019-11-25 17:19:25,FALSE,NA,"1199014738908209157",NA,"<a href=""http://www.samruston.co.uk"" rel=""nofollow"">Flamingo for Android</a>","d1g1t",200,TRUE,FALSE,NA,NA
"90","RT @JoySRKian_1: <U+26A0><U+FE0F>Your Attention Please<U+26A0><U+FE0F>

there's another channel that is sharing false info abt SRK abt the Ayodhya Verdict.

link: http…",FALSE,0,NA,2019-11-25 17:17:35,FALSE,NA,"1199014278344261632",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_AnikSRKian_",164,TRUE,FALSE,NA,NA
"91","RT @RanaAyyub: I spoke to @Slate on the anxiety of Being Muslim in India. On Kashmir, the Ayodhya verdict and everything else that    ails…",FALSE,0,NA,2019-11-25 17:17:24,FALSE,NA,"1199014234614648832",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","zameerahmedjuml",200,TRUE,FALSE,NA,NA
"92","RT @AskAnshul: Sunni Waqf Board lawyer Zafaryab Jilani has said that Ayodhya verdict is against Sharia law

Earlier, Ex Vice President Hami…",FALSE,0,NA,2019-11-25 17:16:22,FALSE,NA,"1199013974169112576",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Onefora15665999",5298,TRUE,FALSE,NA,NA
"93","RT @RanaAyyub: I spoke to @Slate on the anxiety of Being Muslim in India. On Kashmir, the Ayodhya verdict and everything else that    ails…",FALSE,0,NA,2019-11-25 17:14:28,FALSE,NA,"1199013493887905792",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","asifhyder1",200,TRUE,FALSE,NA,NA
"94","RT @RanaAyyub: I spoke to @Slate on the anxiety of Being Muslim in India. On Kashmir, the Ayodhya verdict and everything else that    ails…",FALSE,0,NA,2019-11-25 17:14:22,FALSE,NA,"1199013469669867520",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","faisalbij",200,TRUE,FALSE,NA,NA
"95","RT @RanaAyyub: I spoke to @Slate on the anxiety of Being Muslim in India. On Kashmir, the Ayodhya verdict and everything else that    ails…",FALSE,0,NA,2019-11-25 17:13:47,FALSE,NA,"1199013324412850176",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","StandwithAli",200,TRUE,FALSE,NA,NA
"96","RT @RanaAyyub: I spoke to @Slate on the anxiety of Being Muslim in India. On Kashmir, the Ayodhya verdict and everything else that    ails…",FALSE,0,NA,2019-11-25 17:13:08,FALSE,NA,"1199013159710810112",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MdAftabFiroz",200,TRUE,FALSE,NA,NA
"97","RT @NamoApp: PM Modi: Country moving forward with fresh hopes after Ayodhya verdict https://t.co/lbQrAOF5Tu",FALSE,0,NA,2019-11-25 17:11:59,FALSE,NA,"1199012869628665856",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BanshiDutta",10,TRUE,FALSE,NA,NA
"98","RT @mkatju: Disillusion urself about judiciary. It has largely surrendered to executive as obvious from disgraceful Ayodhya verdict,sending…",FALSE,0,NA,2019-11-25 17:11:10,FALSE,NA,"1199012664858435584",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Mr_Incoggnito",653,TRUE,FALSE,NA,NA
"99","#sunniwaqfboard meeting in Lucknow on Tuesday to discuss Supreme Court's Ayodhya verdict. 
#ayodhya5acrerow… https://t.co/EucNo8QLl5",FALSE,0,NA,2019-11-25 17:11:08,TRUE,NA,"1199012658206269443",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","krchandan",0,FALSE,FALSE,NA,NA
